date,killed,injured,location
1/1/2013,4,0,"Sacramento, CA"
1/1/2013,1,3,"Hawthorne, CA"
1/1/2013,0,4,"McKeesport, PA"
1/1/2013,1,4,"Lorain, OH"
1/5/2013,4,0,"Aurora, CO"
1/7/2013,5,0,"Tulsa, OK"
1/7/2013,2,2,"Greensboro, NC"
1/7/2013,3,1,"Dinwiddie, VA"
1/10/2013,3,2,"New Orleans, LA"
1/12/2013,1,4,"Tuscaloosa, AL"
1/19/2013,5,0,"Albuquerque, NM"
1/21/2013,0,4,"Brentwood, CA"
1/21/2013,0,5,"New Orleans, LA"
1/25/2013,1,4,"St. Louis, MO"
1/26/2013,1,3,"Springfield, OH"
1/26/2013,0,5,Washington DC
1/27/2013,1,3,"Charenton, LA"
1/30/2013,3,1,"Phoenix, AZ"
2/1/2013,1,3,"Oakland, CA"
2/2/2013,0,5,"Memphis, TN"
2/3/2013,5,4,"Began in Riverside, CA"
2/3/2013,1,3,"Olivehurst, CA"
2/3/2013,2,2,"Memphis, TN"
2/6/2013,3,1,"Denver, CO"
2/7/2013,0,4,"Chicago, IL"
2/9/2013,0,4,"New Orleans, LA"
2/11/2013,1,4,"Vallejo, CA"
2/11/2013,1,4,"Oakdale, MN"
2/11/2013,3,2,"Wilmington, DE"
2/12/2013,3,1,"Suburban Salt Lake City (Midvale), UT"
2/13/2013,2,2,"Red Springs, NC"
2/16/2013,1,3,"Winston-Salem, NC"
2/19/2013,4,3,"Tustin, CA"
2/21/2013,1,3,"Tulsa, OK"
2/21/2013,2,2,"Miami, FL"
2/22/2013,0,4,"Grand Rapids, MI"
2/23/2013,0,4,"Oakland, CA"
2/23/2013,0,4,"Lancaster, CA"
2/24/2013,0,8,"Macon, GA"
3/2/2013,1,3,"Shreveport, LA"
3/3/2013,1,3,"Moultrie, GA"
3/3/2013,0,6,"Houston, TX"
3/4/2013,0,4,"Saginaw, MI"
3/4/2013,1,3,"Los Banos, CA"
3/5/2013,1,3,"Indianapolis, IN"
3/5/2013,0,4,"Fuquay-Varina, NC"
3/7/2013,2,2,"Jackson, MS"
3/8/2013,1,3,"Buffalo, NY"
3/11/2013,0,13,"Washington, DC"
3/11/2013,1,3,"North Liberty, IA"
3/13/2013,2,2,"San Diego, CA"
3/13/2013,5,2,"Herkimer, NY"
3/14/2013,4,0,"Mesquite, TX"
3/14/2013,0,4,"Modesto, CA"
3/16/2013,0,7,"Galt, CA"
3/17/2013,2,4,"Stockton, CA"
3/17/2013,0,5,"Belle Glade, FL"
3/20/2013,3,1,"Jefferson County, AL"
3/21/2013,0,7,"Chicago, IL"
3/21/2013,1,4,"Kansas City, MO"
3/22/2013,1,3,"Brooklyn, NY"
3/26/2013,0,4,"St. Petersberg, FL"
3/31/2013,3,1,"Auburn, WA"
3/31/2013,2,3,"Merced County, CA"
4/2/2013,4,1,"San Juan, Puerto Rico"
4/6/2013,0,4,"Philadelphia, PA"
4/6/2013,1,4,"Greenwood, SC"
4/7/2013,1,3,"Manhatten, Kansas"
4/7/2013,1,3,"Long Beach, CA"
4/9/2013,1,3,"Philadelphia, PA"
4/10/2013,0,4,"Vallejo, CA"
4/13/2013,0,5,"Norfolk, VA"
4/13/2013,0,4,"Merced, CA"
4/14/2013,2,4,"Phoenix, AZ"
4/14/2013,1,4,"Lexington, KY"
4/18/2013,2,2,"Northhampton, PA"
4/18/2013,2,2,"Boston, MA"
4/18/2013,4,0,"Akron, OH"
4/20/2013,2,2,"Richmond, VA"
4/20/2013,2,2,"Modesto, CA"
4/21/2013,5,2,"Federal Way, WA"
4/22/2013,0,4,"Englewood, Illinois"
4/22/2013,0,5,"Havey, Louisiana"
4/24/2013,6,1,"Manchester, IL"
4/25/2013,0,4,"Oberlin, Ohio"
4/27/2013,1,4,"Williston, FL"
4/28/2013,0,4,"Lauderdale Lakes, FL"
4/28/2013,0,5,"Charlotte, NC"
4/28/2013,4,0,"Ottawa, KA"
4/28/2013,1,3,"Chester, PA"
4/28/2013,2,2,"Jackson, Tennessee"
5/2/2013,0,5,"Newark, NJ"
5/4/2013,0,4,"Smithfield, NC"
5/4/2013,4,6,"Aguas Buenas, PR"
5/5/2013,1,3,"Oakland, CA"
5/5/2013,0,6,"E. Palo Alto, CA"
5/6/2013,0,4,"Johnstown, PA"
5/6/2013,0,4,"Ocean Township, NJ"
5/8/2013,4,0,"Hendersonville, NC"
5/10/2013,3,1,"Harbor Gateway (Los Angeles), CA"
5/11/2013,4,0,"Waynesville, IN"
5/11/2013,0,4,"East Germantown, PA"
5/12/2013,0,4,"Apache Junction, AZ"
5/12/2013,0,5,"Newark, NJ"
5/12/2013,0,4,"Hollister, CA"
5/12/2013,0,4,"Jersey City, NJ"
5/12/2013,0,19,"New Orleans, LA"
5/13/2013,0,5,"Winton Hills, OH"
5/15/2013,5,0,"Fernley, NV"
5/15/2013,1,4,"Detroit, MI"
5/16/2013,0,4,"Philadelphia, PA"
5/18/2013,3,3,"Las Piedras, PR"
5/19/2013,0,4,"Detroit, MI"
5/19/2013,0,4,"Lunenburg, VA"
5/19/2013,2,2,"South Memphis, TN"
5/20/2013,0,4,"Chicago, IL"
5/21/2013,0,4,"Madison County, AL"
5/21/2013,4,0,"Herndon, VA"
5/23/2013,2,2,"Knoxville, TN"
5/23/2013,1,3,"Saginaw, MI"
5/24/2013,2,2,"Bakersfield, CA"
5/25/2013,1,4,"Hampton, VA"
5/25/2013,1,3,"Flint, MI"
5/26/2013,3,5,"Began in Eden, TX"
5/28/2013,5,0,"Sells, AZ"
5/28/2013,1,3,"Memphis, TN"
5/29/2013,0,4,"Chicago, IL"
5/31/2013,0,4,"Atlanta, GA"
6/1/2013,2,2,"Vallejo, CA"
6/1/2013,0,4,"Milwaukee, WI"
6/2/2013,0,7,"LaGrange, GA"
6/2/2013,0,4,"Indianapolis, IN"
6/2/2013,0,4,"Virginia Beach, VA"
6/2/2013,0,5,"Roanoke, VA"
6/3/2013,2,2,"Las Vegas, NV"
6/4/2013,2,2,"Shoreview, MN"
6/5/2013,0,10,"Elburn, IL"
6/7/2013,5,5,"Santa Monica, CA"
6/9/2013,0,4,"York City, PA"
6/10/2013,1,5,"Chicago, IL"
6/10/2013,0,6,"St. Louis, MO"
6/11/2013,4,0,"Darien, IL"
6/12/2013,4,0,"St. Louis, MO"
6/14/2013,0,4,"High Point, NC"
6/15/2013,0,4,"Nashville, TN"
6/15/2013,1,3,"Houston, TX"
6/16/2013,1,3,"Chicago, IL"
6/18/2013,1,3,"Berkeley, MO"
6/19/2013,3,1,"Louisville, KY"
6/21/2013,1,3,"Chicago, IL"
6/21/2013,0,6,"Norfolk, VA"
6/22/2013,0,4,"Providence, RI"
6/22/2013,0,5,"Greenville, NC"
6/22/2013,1,4,"Paterson, NJ"
6/22/2013,1,4,"Baltimore, MD"
6/23/2013,1,3,"Chattanooga, TN"
6/23/2013,1,8,"Kansas City, MO"
6/23/2013,0,4,"Gentilly, LA"
6/23/2013,1,4,"Virginia Beach, VA"
6/23/2013,1,3,"Sacramento, CA"
6/24/2013,1,3,"Kansas City, MO"
6/25/2013,1,4,"Chicago, IL"
6/27/2013,2,2,"Three Rivers, CA"
6/27/2013,1,3,"Baltimore, MD"
6/28/2013,0,6,"Chicago, IL"
6/29/2013,3,1,"North Charleston, SC"
6/29/2013,0,4,"Aurora, CO"
6/30/2013,0,9,"Brooklyn, NY"
7/1/2013,4,0,"Fort Worth, TX"
7/2/2013,1,3,"Montgomery, AL"
7/3/2013,1,3,"Calais, ME"
7/4/2013,1,6,"Pontiac, MI"
7/4/2013,0,4,"Woodlawn, IL"
7/5/2013,1,3,"Macon, GA"
7/6/2013,0,4,"Florence, AL"
7/6/2013,1,7,"Chicago, IL"
7/6/2013,1,3,"Brooklyn, NY"
7/6/2013,1,3,"Los Angeles, CA"
7/7/2013,1,3,"Pompano Beach, FL"
7/7/2013,0,4,"Meridian, MS"
7/7/2013,1,4,"Stockton, CA"
7/7/2013,1,5,"Chicago, IL"
7/9/2013,0,4,"Baltimore, MD"
7/9/2013,2,2,"Rockford, IL"
7/10/2013,2,12,"Kissimmee, FL"
7/11/2013,1,3,"Charlotte, NC"
7/12/2013,1,3,"San Francicsco, CA"
7/12/2013,1,4,"Hamilton Township, NJ"
7/12/2013,2,2,"Greensburg, KY"
7/13/2013,1,3,"Oklahoma City, OK"
7/13/2013,0,4,"Washington, DC"
7/14/2013,1,4,"Wichita, KS"
7/14/2013,0,5,"Kentwood, MI"
7/14/2013,2,2,"Lexington, SC"
7/17/2013,3,1,"Oakland, CA"
7/19/2013,0,4,"Madera, CA"
7/19/2013,0,4,"Hartford, CT"
7/20/2013,0,5,"Campbell, OH"
7/21/2013,1,3,"Chicago, IL"
7/21/2013,0,4,"Brooklyn (Crown Heights), NY"
7/21/2013,0,5,"Brooklyn (Bushwick), NY"
7/21/2013,2,2,"Fort Pierce, FL"
7/24/2013,0,4,"Topeka, KS"
7/25/2013,0,4,"Inkster, MI"
7/26/2013,4,0,"Clarksburg, WV"
7/26/2013,7,0,"Hialea, FL"
7/27/2013,1,3,"Farmington, NM"
7/28/2013,1,3,"Irvington, NJ"
7/28/2013,0,5,"Dallas, TX"
7/28/2013,0,4,"Granger, WA"
7/30/2013,0,4,"Lea County (Hobbs), NM"
8/2/2013,0,4,"Broad Ripple, IN"
8/2/2013,2,3,"Newark, NJ"
8/2/2013,4,0,"Whitesburg, KY"
8/3/2013,0,5,"Detriot, MI"
8/4/2013,3,4,"Salinas, CA"
8/4/2013,1,3,"Kansas City, Mo"
8/5/2013,3,4,"Ross Township, PA"
8/5/2013,0,4,"Montclair, NJ"
8/7/2013,4,4,"Dallas, TX"
8/11/2013,1,4,"Portsmouth, VA"
8/11/2013,4,0,"Omaha, NE"
8/11/2013,1,3,"Flatbush, NY"
8/11/2013,2,2,"St. Louis, MO"
8/11/2013,0,4,"Wilmington, DE"
8/12/2013,0,4,"Cincinnati, OH"
8/15/2013,4,0,"Oklahoma, OK"
8/16/2013,0,4,"Kingsessing, PA"
8/17/2013,0,4,"Oakland, CA"
8/18/2013,0,4,"Port Norris, NJ"
8/18/2013,0,4,"Toledo, OH"
8/18/2013,1,3,"Rochester, NY"
8/18/2013,0,4,"St. Louis, MO"
8/18/2013,1,3,"Chicago, IL"
8/18/2013,1,4,"Chesterfield County, SC"
8/19/2013,1,4,"Chicago, IL"
8/20/2013,2,2,"Baltimore, MD"
8/20/2013,0,4,"Vanceboro, NC"
8/22/2013,2,2,"Shaler, PA"
8/23/2013,1,6,"Baltimore, MD"
8/24/2013,0,4,"Indianapolis, IN"
8/25/2013,3,2,"Lake Butler, FL"
8/25/2013,2,2,"Minneapolis, MN"
8/25/2013,0,4,"Oakland, CA"
8/25/2013,1,4,"Dillon County, SC"
8/28/2013,3,2,"Columbus, OH"
9/5/2013,0,4,"Charlotte, NC"
9/7/2013,1,3,"St. Louis, MO"
9/7/2013,2,4,"Gary, IN"
9/10/2013,1,4,"Bridgeport, CT"
9/11/2013,1,3,"Washington, DC"
9/11/2013,0,4,"New York, NY"
9/11/2013,4,0,"Renegade Mountain, TN"
9/13/2013,0,4,"Centreville, IL"
9/14/2013,0,4,"Marion, NC"
9/15/2013,0,7,"Fresno, CA"
9/15/2013,0,5,"Colorado Springs, CO"
9/15/2013,0,4,"Wilmington, DE"
9/15/2013,2,2,"Bakersfield, CA"
9/15/2013,0,6,"Yakima, WA"
9/15/2013,3,1,"Snellville, GA"
