"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"February 14, 2018",Florida,"Pompano Beach (Parkland)","5901 Pine Island Rd",17,15,N/A
"February 13, 2018",Louisiana,"New Orleans","5400 block of Andry Street",2,3,N/A
"February 11, 2018",Michigan,Detroit,"19432 Lamont Street",4,3,N/A
"February 10, 2018",Kentucky,Paintsville,"413 Mill Street",5,0,N/A
"February 7, 2018",Florida,"Lake Worth (Lantana)","I-95 and Lantana Ave",3,3,N/A
"February 5, 2018",Colorado,"Colorado Springs","4225 Galley Rd",2,4,N/A
"February 3, 2018",Ohio,"Cleveland (Garfield Heights)","11321 Broadway Ave",1,5,N/A
"January 31, 2018",Missouri,"Saint Louis","Goodfellow Blvd and Dr Martin Luther King Dr",0,4,N/A
"January 28, 2018",Pennsylvania,Melcroft,"1301 Indian Creek Valley Rd",5,0,N/A
"January 28, 2018",Pennsylvania,Reading,"123 S 3rd St",4,0,N/A
"January 28, 2018",Indiana,Indianapolis,"1313 N Sherman Dr",2,3,N/A
"January 27, 2018",California,"Los Angeles","243 East 119th St",0,5,N/A
"January 27, 2018",Kentucky,"Bowling Green","645 Pearl Street",0,4,N/A
"January 25, 2018","District of Columbia",Washington,"1600 block of Kenilworth Ave NE",0,4,N/A
"January 23, 2018",Pennsylvania,Philadelphia,"N 24th St and Ridge Ave",0,4,N/A
"January 23, 2018",Kentucky,Benton,"416 High School Road",2,14,N/A
"January 21, 2018",Florida,Orlando,"3101 Willow Bend Blvd",0,4,N/A
"January 21, 2018",Illinois,Chicago,"3200 W Division St",0,4,N/A
"January 17, 2018","District of Columbia",Washington,"2000 block of 16th St SE",1,3,N/A
"January 16, 2018","South Carolina",York,"3042 Farrier Lane",1,4,N/A
"January 15, 2018",Florida,Alachua,"14223 NW 156th Pl",0,5,N/A
"January 14, 2018",Alabama,Eutaw,"809 Mesopotamia St",1,4,N/A
"January 14, 2018",Alabama,Madison,"101 Westchester Dr",0,4,N/A
"January 12, 2018",Tennessee,Nashville,"2614 Jenkins Ct",3,2,N/A
"January 11, 2018",Missouri,"Saint Robert (St Robert)","St Robert Outer Road and Houston Road",2,2,N/A
"January 7, 2018",Alabama,"Union Springs","U.S. Highway 29",1,5,N/A
"January 7, 2018",Florida,Plantation,"5225 W Broward Blvd",0,4,N/A
"January 5, 2018",Mississippi,Hattiesburg,"6168 US 49",0,6,N/A
"January 4, 2018",Arkansas,Brinkley,"615 W 6th St",1,3,N/A
"January 1, 2018",Alabama,Huntsville,"2025 Sparkman Dr NW",1,3,N/A
