Title,Author,ISBN,Bookshelves,Date Read
Rightful Heritage,Douglas Brinkley,9780062089250,Currently reading,""
The Mysterious Mrs. Nixon,Heath Hardage Lee,9781250274359,Currently reading,""
Bread and Wine,C. S. Lewis,9780874869262,Currently reading,""
Golden Gates: Fighting for Housing in America,Conor Dougherty,9780525560210,Finished reading,2025-02-02
"Cash, Color, and Colonialism: The Politics of Tribal Acknowledgment",Renee Ann Cramer,9780806136714,Finished reading,""
Why the Allies Won,Richard Overy,9780393316193,Finished reading,""
American Babylon: Race and the Struggle for Postwar Oakland,Robert O. Self,9780691070261,Finished reading,""
Emerald City: An Environmental History of Seattle,Matthew Klingle,9780300143195,Finished reading,""
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,9780374172145,Finished reading,""
The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,9781631494536,Finished reading,""
Capital City: Gentrification and the Real Estate State,Samuel Stein,9781786636393,Finished reading,""
A Road We Do Not Know: A Novel of Custer at Little Bighorn,Frederick J. Chiaventone,9780684830568,Finished reading,""
William M. Kunstler: The Most Hated Lawyer in America,David J. Langum,9780814751503,Finished reading,""
"Triumph Forsaken: The Vietnam War, 1954-1965",Mark Moyar,9780521869119,Finished reading,""
The American West: A Twentieth-Century History,Michael P. Malone,9780803230934,Finished reading,""
Artful Sentences: Syntax as Style,Virginia Tufte,9780961392185,Finished reading,""
The Death and Life of Great American Cities,Jane Jacobs,9780679741954,Finished reading,""
Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,9780385535595,Finished reading,""
"Refusing the Favor: The Spanish-Mexican Women of Santa Fe, 1820-1880",Deena J. Gonzalez,9780195145946,Finished reading,""
"Taking Land, Breaking Land: Women Colonizing the American West and Kenya, 1840-1940",Glenda Riley,9780826331120,Finished reading,""
The Murder of Helen Jewett: The Life and Death of a Prostitute in Nineteenth-Century New York,Patricia Cline Cohen,9780679740759,Finished reading,""
"A Midwife's Tale: The Life of Martha Ballard, Based on Her Diary, 1785-1812",Laurel Thatcher Ulrich,9780679733768,Finished reading,""
Radio Free Dixie: Robert F. Williams and the Roots of Black Power,Timothy B. Tyson,9780807849231,Finished reading,""
A Short History of Reconstruction,Eric Foner,9780060964313,Finished reading,""
Dean Acheson: A Life in the Cold War,Robert L. Beisner,9780195045789,Finished reading,""
The Reagan Diaries,Ronald Reagan,9780007263059,Finished reading,""
The New Political Culture,Terry N. Clark,9780813328140,Finished reading,""
"The Age of Reagan: A History, 1974-2008",Sean Wilentz,9780060744816,Finished reading,""
The Rise of American Democracy: Jefferson to Lincoln,Sean Wilentz,9780393329216,Finished reading,""
America Divided: The Civil War of the 1960s,Maurice Isserman,9780195319866,Finished reading,""
McGovern: A Biography,Robert Sam Anson,9780030913457,Finished reading,""
The Rise And Fall Of The American Left,John Patrick Diggins,9780393030754,Finished reading,""
Like No Other Time: The 107th Congress and the Two Years That Changed America Forever,Tom Daschle,9781400049554,Finished reading,""
Daschle vs. Thune: Anatomy of a High-Plains Senate Race,Jon K. Lauck,9780806138503,Finished reading,""
"Prairie Republic: The Political Culture of Dakota Territory, 1879–1889",Jon K. Lauck,9780806141107,Finished reading,""
Politics In The Postwar American West,Richard Lowitt,9780806127415,Finished reading,""
Modern American Indian Tribal Government And Politics,Howard Meredith,9780912586762,Finished reading,""
The Portable Conservative Reader,Russell Kirk,9780140150957,Finished reading,""
The Symbolic Uses of Politics,Murray Edelman,9780252012020,Finished reading,""
A Godly Hero: The Life of William Jennings Bryan,Michael Kazin,9780385720564,Finished reading,""
The Conservative Mind: From Burke to Eliot,Russell Kirk,9780895261717,Finished reading,""
The Age of Reform,Richard Hofstadter,9780394700953,Finished reading,""
Nixon Reconsidered,Joan Hoff,9780465051052,Finished reading,""
Native Activism in Cold War America: The Struggle for Sovereignty,Daniel M. Cobb,9780700617500,Finished reading,""
Red Power: The American Indians' Fight for Freedom,Alvin M. Josephy Jr.,9780803276116,Finished reading,""
Loud Hawk: The United States Versus the American Indian Movement,Kenneth S. Stern,9780806134390,Finished reading,""
"Wild West Shows and the Images of American Indians, 1883-1933",L.G. Moses,9780826320896,Finished reading,""
Like a Hurricane: The Indian Movement from Alcatraz to Wounded Knee,Paul Chaat Smith,9781565844025,Finished reading,""
Andrew Jackson and His Indian Wars,Robert V. Remini,9780142001288,Finished reading,""
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,9780805086843,Finished reading,""
"Lakota and Cheyenne: Indian Views of the Great Sioux War, 1876-1877",Jerome A. Greene,9780806126814,Finished reading,""
Blood Struggle: The Rise of Modern Indian Nations,Charles F. Wilkinson,9780393328509,Finished reading,""
"Keeping Heart on Pine Ridge: Family Ties, Warrior Culture, Commodity Foods, Rez Dogs, and the Sacred",Vic Glover,9781570671654,Finished reading,""
The Road To Wounded Knee,Robert Burnette,9780553085389,Finished reading,""
Indian Self Rule: First-Hand Accounts of Indian-White Relations from Roosevelt to Reagan,Kenneth Philp,9780874211801,Finished reading,""
The Invasion of Indian Country in the Twentieth Century: American Capitalism and Tribal Natural Resources,Donald L. Fixico,9780870815171,Finished reading,""
American Indians in a Modern World,Donald L. Fixico,9780759111707,Finished reading,""
Voices of Wounded Knee,William S.E. Coleman,9780803264229,Finished reading,""
The Lakota Way: Stories and Lessons for Living,Joseph M. Marshall III,9780670894567,Finished reading,""
"Shades of Hiawatha: Staging Indians, Making Americans, 1880-1930",Alan Trachtenberg,9780809016396,Finished reading,""
The American Indian Occupation of Alcatraz Island: Red Power and Self-Determination,Troy R. Johnson,9780803217799,Finished reading,""
The French and Indian War: Deciding the Fate of North America,Walter R. Borneman,9780060761851,Finished reading,""
Blood of the Land,Rex Weyler,9780896961340,Finished reading,""
Wounded Knee II,Rolland Dewing,9780964678002,Finished reading,""
In the Spirit of Crazy Horse: The Story of Leonard Peltier and the FBI's War on the American Indian Movement,Peter Matthiessen,9780140144567,Finished reading,""
In the Past Lane: Historical Perspectives on American Culture,Michael Kammen,9780195111118,Finished reading,""
Leisure the Basis of Culture,Josef Pieper,9780865972100,Finished reading,""
"The Refinement of America: Persons, Houses, Cities",Richard L. Bushman,9780679744146,Finished reading,""
Culture as History: The Transformation of American Society in the Twentieth Century,Warren I. Susman,9781588340511,Finished reading,""
The Closing of the American Mind,Allan Bloom,9780671657154,Finished reading,""
Making Patriots,Walter Berns,9780226044385,Finished reading,""
The Electronic Republic: Reshaping American Democracy for the Information Age,Lawrence K. Grossman,9780140249217,Finished reading,""
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,9780143036531,Finished reading,""
Homeward Bound: American Families in the Cold War Era,Elaine Tyler May,9780465010202,Finished reading,""
México Profundo: Reclaiming a Civilization,Guillermo Bonfil Batalla,9780292708433,Finished reading,""
Tenured Radicals: How Politics Has Corrupted Our Higher Education,Roger Kimball,9780060161903,Finished reading,""
Anti-Intellectualism in American Life,Richard Hofstadter,9780394703176,Finished reading,""
Age of Contradiction: American Thought & Culture in the 1960s,Howard Brick,9780801487002,Finished reading,""
Nation of Rebels: Why Counterculture Became Consumer Culture,Joseph Heath,9780060745868,Finished reading,""
Devil's Bargains: Tourism in the Twentieth-Century American West,Hal K. Rothman,9780700610563,Finished reading,""
Brave New West: Morphing Moab at the Speed of Greed,Jim Stiles,9780816524747,Finished reading,""
Imagine Nation: The American Counterculture of the 1960s and '70s,Peter Braunstein,9780415930406,Finished reading,""
"Buffalo Bill's Wild West: Celebrity, Memory, and Popular History",Joy S. Kasson,9780809032440,Finished reading,""
"After the Trail of Tears: The Cherokees' Struggle for Sovereignty, 1839-1880",William Gerald McLoughlin,9780807844335,Finished reading,""
Forgotten Allies: The Oneida Indians and the American Revolution,Joseph T. Glatthaar,9780809046003,Finished reading,""
"Roll, Jordan, Roll: The World the Slaves Made",Eugene D. Genovese,9780394716527,Finished reading,""
Lincoln: The Biography of a Writer,Fred  Kaplan,9781455805600,Finished reading,""
Advise and Dissent: Memoirs of South Dakota and the U.S. Senate,James G. Abourezk,9781556520662,Finished reading,""
Globalization and International Relations Theory,Ian   Clark,9780198782094,Finished reading,""
Woodrow Wilson and the Roots of Modern Liberalism,Ronald J. Pestritto,9780742515178,Finished reading,""
Nixon's Shadow: The History of an Image,David Greenberg,9780393048964,Finished reading,""
The Populist Revolt: A History of the Farmers' Alliance and the People's Party,John Donald Hicks,9780803250857,Finished reading,""
"Creating the West: Historical Interpretations, 1890-1990",Gerald D. Nash,9780826312679,Finished reading,""
Red Rover,Deirdre McNamer,9780670063505,Finished reading,""
An American Life,Ronald Reagan,9780671691981,Finished reading,""
Slouching Towards Gomorrah,Robert H. Bork,9780060987190,Finished reading,""
"An Army of Davids: How Markets and Technology Empower Ordinary People to Beat Big Media, Big Government, and Other Goliaths",Glenn Reynolds,9781595551139,Finished reading,""
The Discoverers: A History of Man's Search to Know His World and Himself,Daniel J. Boorstin,9780394726250,Finished reading,""
"Partial Visions: Culture and Politics in Britain, Canada, and the United States",Richard M. Merelman,9780299129941,Finished reading,""
Cold War and the Color Line: American Race Relations in the Global Arena (Revised),Thomas Borstelmann,9780674012387,Finished reading,""
Power and Prejudice: The Politics and Diplomacy of Racial Discrimination,Paul Gordon Lauren,9780813321431,Finished reading,""
"Broadcasting Freedom: Radio, War, and the Politics of Race, 1938-1948",Barbara Dianne Savage,9780807848043,Finished reading,""
"Latin America in the Era of the Cuban Revolution, 2nd Edition",Thomas C. Wright,9780275967062,Finished reading,""
Crabgrass Frontier: The Suburbanization of the United States,Kenneth T. Jackson,9780195049831,Finished reading,""
From Jim Crow to Civil Rights: The Supreme Court and the Struggle for Racial Equality,Michael J. Klarman,9780195310184,Finished reading,""
For Whom the Bell Tolls,Ernest Hemingway,9780684803357,Finished reading,""
Remembering Ahanagran: A History of Stories,Richard White,9780295983554,Finished reading,""
"Art and Empire: The Politics of Ethnicity in the United States Capitol, 1815–1860",Vivien Green Fryd,9780821413425,Finished reading,""
The Humane Interface: New Directions for Designing Interactive Systems,Jef Raskin,9780201379372,Finished reading,""
The Spatial Humanities: GIS and the Future of Humanities Scholarship,David J. Bodenhamer,9780253222176,Finished reading,""
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,9780735611313,Finished reading,""
In the Beginning...Was the Command Line,Neal Stephenson,9780380815937,Finished reading,""
Cathedral and the Bazaar,Eric S. Raymond,9781607962281,Finished reading,""
If Dogs Could Talk: Exploring the Canine Mind,Vilmos Csányi,9780865477292,Finished reading,""
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin,9780156031448,Finished reading,""
How To Speak Dog: Mastering the Art of Dog-Human Communication,Stanley Coren,9780743202978,Finished reading,""
"The New Work of Dogs: Tending to Life, Love, and Family",Jon Katz,9780375760556,Finished reading,""
Adam's Task: Calling Animals by Name,Vicki Hearne,9781602390027,Finished reading,""
Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,9780156001458,Finished reading,""
Merchants of Culture: The Publishing Business in the Twenty-First Century,John Brookshire Thompson,9780745647869,Finished reading,""
"Rereading Frederick Jackson Turner: ""The Significance of the Frontier in American History"" and Other Essays",Frederick Jackson Turner,9780300075939,Finished reading,""
Wounded Knee: Party Politics and the Road to an American Massacre,Heather Cox Richardson,9780465009213,Finished reading,""
Universities and Empire: Money and Politics in the Social Sciences During the Cold War,Christopher Simpson,9781565845190,Finished reading,""
Downwinders: An Atomic Tale,Curtis Oberhansly,9780970796592,Finished reading,""
How to Fix Copyright,William Patry,9780199912919,Finished reading,""
A Shared Authority: Essays on the Craft and Meaning of Oral and Public History,Michael Frisch,9780791401330,Finished reading,""
The Tainted Desert: Environmental and Social Ruin in the American West,Valerie Kuletz,9780415917711,Finished reading,""
By the Bomb's Early Light: American Thought and Culture At the Dawn of the Atomic Age,Paul S. Boyer,9780807844809,Finished reading,""
The Closed World: Computers and the Politics of Discourse in Cold War America,Paul N. Edwards,9780262550284,Finished reading,""
The Cold War and American Science: The Military-Industrial-Academic Complex at Mit and Stanford,Stuart W. Leslie,9780231079594,Finished reading,""
