year,fatalities
1910,84
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,12
1937,21
1938,13
1939,15
1940,7
1941,6
1942,1
1943,15
1944,1
1945,2
1946,2
1947,2
1948,1
1949,20
1950,6
1951,0
1952,3
1953,19
1954,9
1955,8
1956,18
1957,0
1958,3
1959,16
1960,7
1961,9
1962,5
1963,3
1964,5
1965,9
1966,13
1967,11
1968,20
1969,1
1970,6
1971,9
1972,12
1973,13
1974,8
1975,3
1976,6
1977,15
1978,5
1979,13
1980,8
1981,7
1982,2
1983,13
1984,19
1985,8
1986,9
1987,23
1988,29
1989,14
1990,23
1991,13
1992,13
1993,8
1994,35
1995,16
1996,12
1997,10
1998,14
1999,28
2000,17
2001,18
2002,23
2003,30
2004,20
2005,12
2006,24
2007,9
2008,25
2009,15
2010,8
2011,11
2012,15
