date,steps,type
9/14/2015,12258,FitBit
9/15/2015,11408,FitBit
9/16/2015,13790,FitBit
9/17/2015,13332,FitBit
9/18/2015,5601,FitBit
9/19/2015,30588,FitBit
9/20/2015,15619,FitBit
9/21/2015,1450,FitBit
9/22/2015,12338,FitBit
9/23/2015,15710,FitBit
9/24/2015,8797,FitBit
9/25/2015,6751,FitBit
9/26/2015,9830,FitBit
9/27/2015,13319,FitBit
9/28/2015,9290,FitBit
9/29/2015,10141,FitBit
9/30/2015,14159,FitBit
10/1/2015,12234,FitBit
10/2/2015,9471,FitBit
10/3/2015,12359,FitBit
10/4/2015,14589,FitBit
10/5/2015,8492,FitBit
10/6/2015,11871,FitBit
10/7/2015,8822,FitBit
10/9/2015,9142,FitBit
10/10/2015,9517,FitBit
10/11/2015,12873,FitBit
10/12/2015,16904,FitBit
10/13/2015,10148,FitBit
10/14/2015,8766,FitBit
10/15/2015,9025,FitBit
10/17/2015,8544,FitBit
10/18/2015,16657,FitBit
10/19/2015,10381,FitBit
10/20/2015,10348,FitBit
10/21/2015,9593,FitBit
10/23/2015,8544,FitBit
10/24/2015,10222,FitBit
10/25/2015,14574,FitBit
10/26/2015,8439,FitBit
10/27/2015,18672,FitBit
10/28/2015,10305,FitBit
10/29/2015,7343,FitBit
10/30/2015,8008,FitBit
10/31/2015,8491,FitBit
11/1/2015,10000,FitBit
11/2/2015,10668,FitBit
11/3/2015,11008,FitBit
11/4/2015,11470,FitBit
11/6/2015,12040,FitBit
11/7/2015,9640,FitBit
11/8/2015,10235,FitBit
11/9/2015,11096,FitBit
11/10/2015,12034,FitBit
11/11/2015,12480,FitBit
11/12/2015,9519,FitBit
11/13/2015,5657,FitBit
11/14/2015,9465,FitBit
11/15/2015,4915,FitBit
11/16/2015,10718,FitBit
11/17/2015,10356,FitBit
11/18/2015,9797,FitBit
11/20/2015,5477,FitBit
11/21/2015,15013,FitBit
11/22/2015,8326,FitBit
11/23/2015,10014,FitBit
11/25/2015,7293,FitBit
11/26/2015,11692,FitBit
11/28/2015,10024,FitBit
11/29/2015,6931,FitBit
11/30/2015,9409,FitBit
12/1/2015,10910,FitBit
12/2/2015,6055,FitBit
12/5/2015,7288,FitBit
12/6/2015,5727,FitBit
12/7/2015,8345,FitBit
12/8/2015,7981,FitBit
12/9/2015,11668,FitBit
12/10/2015,13081,FitBit
12/12/2015,8863,FitBit
12/13/2015,11246,FitBit
12/14/2015,8420,FitBit
12/15/2015,12811,FitBit
12/16/2015,11098,FitBit
12/17/2015,9148,FitBit
12/18/2015,8240,FitBit
12/19/2015,6432,FitBit
12/20/2015,6984,FitBit
12/21/2015,9566,FitBit
12/23/2015,4544,FitBit
12/26/2015,9031,FitBit
12/27/2015,9083,FitBit
12/28/2015,10664,FitBit
12/29/2015,6863,FitBit
12/30/2015,10678,FitBit
12/31/2015,11230,FitBit
1/2/2016,8771,FitBit
1/3/2016,13287,FitBit
1/4/2016,9959,FitBit
1/5/2016,9783,FitBit
1/6/2016,2466,FitBit
1/7/2016,7614,FitBit
1/8/2016,10588,FitBit
1/9/2016,13459,FitBit
1/10/2016,7505,FitBit
1/11/2016,10003,FitBit
1/12/2016,10982,FitBit
1/13/2016,10354,FitBit
1/17/2016,6876,FitBit
1/19/2016,6092,FitBit
1/18/2016,6056,FitBit
1/17/2016,7628,FitBit
1/16/2016,9575,FitBit
1/15/2016,5047,FitBit
1/14/2016,8159,FitBit
1/13/2016,9658,FitBit
1/12/2016,8208,FitBit
1/9/2016,7879,FitBit
1/8/2016,7086,FitBit
1/7/2016,7092,FitBit
1/6/2016,4936,FitBit
1/5/2016,6998,FitBit
1/4/2016,8208,FitBit
1/3/2016,9827,FitBit
9/19/2015,16325,iOS
9/18/2015,3496,iOS
9/17/2015,11242,iOS
9/16/2015,11672,iOS
9/15/2015,10011,iOS
9/14/2015,11419,iOS
9/13/2015,15487,iOS
9/12/2015,4919,iOS
9/11/2015,7056,iOS
9/10/2015,4223,iOS
9/9/2015,14281,iOS
9/8/2015,6883,iOS
9/7/2015,7812,iOS
9/6/2015,2307,iOS
9/5/2015,6749,iOS
9/4/2015,3892,iOS
9/3/2015,9823,iOS
9/2/2015,8007,iOS
8/31/2015,9509,iOS
8/30/2015,7379,iOS
8/29/2015,10638,iOS
8/28/2015,14750,iOS
8/27/2015,6629,iOS
8/27/2015,6991,iOS
8/26/2015,6071,iOS
8/25/2015,13694,iOS
8/24/2015,10238,iOS
8/23/2015,8615,iOS
8/22/2015,4369,iOS
8/21/2015,7001,iOS
8/20/2015,9829,iOS
8/19/2015,5468,iOS
8/13/2015,262,iOS
8/12/2015,4694,iOS
8/11/2015,7491,iOS
8/10/2015,4506,iOS
8/9/2015,11294,iOS
8/8/2015,13352,iOS
8/7/2015,14914,iOS
8/7/2015,10346,iOS
8/6/2015,8842,iOS
8/5/2015,11790,iOS
8/4/2015,7860,iOS
8/3/2015,14352,iOS
8/2/2015,7549,iOS
8/1/2015,6240,iOS
7/31/2015,8886,iOS
7/30/2015,3296,iOS
7/29/2015,7070,iOS
7/28/2015,6102,iOS
7/27/2015,2281,iOS
6/20/2015,13289,iOS
6/19/2015,6160,iOS
6/18/2015,9246,iOS
6/17/2015,11475,iOS
6/16/2015,12363,iOS
6/15/2015,6823,iOS
6/14/2015,14242,iOS
6/11/2015,0,iOS
6/10/2015,16911,iOS
6/9/2015,11758,iOS
6/8/2015,16263,iOS
6/7/2015,8210,iOS
6/6/2015,10028,iOS
6/5/2015,10030,iOS
6/4/2015,8420,iOS
6/3/2015,10155,iOS
6/2/2015,9896,iOS
5/31/2015,6414,iOS
5/30/2015,8901,iOS
5/29/2015,9238,iOS
5/28/2015,14545,iOS
5/27/2015,10961,iOS
5/26/2015,8898,iOS
5/25/2015,4506,iOS
5/23/2015,18726,iOS
5/22/2015,10751,iOS
5/21/2015,12131,iOS
5/20/2015,9879,iOS
5/19/2015,7949,iOS
5/18/2015,12007,iOS
5/17/2015,4804,iOS
5/16/2015,23080,iOS
5/15/2015,5904,iOS
5/14/2015,9343,iOS
5/13/2015,12574,iOS
5/12/2015,7329,iOS
5/11/2015,9874,iOS
5/10/2015,9220,iOS
5/9/2015,14401,iOS
5/8/2015,10251,iOS
5/7/2015,5029,iOS
5/6/2015,9626,iOS
5/4/2015,0,iOS
5/3/2015,4201,iOS
5/2/2015,5361,iOS
5/1/2015,11414,iOS
4/30/2015,11567,iOS
4/29/2015,9217,iOS
4/28/2015,17412,iOS
4/27/2015,13951,iOS
4/26/2015,2371,iOS
4/25/2015,6736,iOS
4/24/2015,7105,iOS
4/23/2015,8794,iOS
4/22/2015,13374,iOS
4/21/2015,9269,iOS
4/20/2015,13047,iOS
