AccidentKey_FromNDOR,AccidentYear,AccidentDate,PedestrianOrPedalcyclist,Latitude,Longitude,AccidentSeverity_CodeFromNDOR,TotalFatalities,TotalInjuries,Time,AlcoholInvolved,WeatherConditions,Douglas_Sarpy_LandUseCode,CountyName,CityName,Census_CityPopulation2000,Census_CityPopulation2010,Census_STATEFP10,Census_PLACEFP10,Census_PLACENS10
213021125,2013,6/6/13 0:00,Pedestrian,41.102347,-96.2373529999999,2,0,1,5,N,Clear,BP,Sarpy,,,,,,
210021258,2010,2/14/10 0:00,Pedestrian,41.371541,-96.4192939999999,2,0,2,1250,N,"Blowing sand, soil, dirt, snow",BP W/ RES,Douglas,,,,,,
208039082,2008,5/31/08 0:00,Cyclists,41.1500259999999,-95.9278699999999,4,0,1,1930,N,Clear,CMU,Sarpy,Bellevue,44373,50137,31,3950,2394120
209016962,2008,11/16/08 0:00,Pedestrian,41.1401389999999,-95.927884,3,0,2,1113,N,Clear,CMU,Sarpy,Bellevue,44373,50137,31,3950,2394120
212038664,2012,8/10/12 0:00,Cyclists,41.2954459999999,-96.1558699999999,2,0,1,1932,N,Clear,CMU,Douglas,Omaha,408735,408958,31,37000,2396064
208009466,2008,2/6/08 0:00,Pedestrian,41.204487,-96.035244,1,1,0,635,N,Cloudy,COM,Douglas,Ralston,6271,5943,31,40605,2396309
208016656,2008,1/1/08 0:00,Pedestrian,41.2055799999999,-95.942169,2,0,1,125,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208016976,2008,1/11/08 0:00,Pedestrian,41.2597269999999,-95.961966,3,0,1,720,N,Unknown,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208017299,2008,1/11/08 0:00,Pedestrian,41.2597269999999,-95.961966,3,0,1,723,N,Not stated,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208022507,2008,2/2/08 0:00,Pedestrian,41.2596339999999,-95.973369,3,0,1,915,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208023613,2008,2/6/08 0:00,Pedestrian,41.259751,-95.956348,4,0,1,1025,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208024101,2008,2/8/08 0:00,Pedestrian,41.2596339999999,-95.973369,2,0,1,1932,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208026078,2008,2/27/08 0:00,Pedestrian,41.2597359999999,-95.963678,3,0,1,2242,Y,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208026694,2008,3/1/08 0:00,Pedestrian,41.287384,-96.081342,4,0,1,1410,N,Clear,COM,Douglas,Omaha,408735,408958,31,37000,2396064
208027179,2008,3/5/08 0:00,Pedestrian,41.2110399999999,-95.9455849999999,4,0,5,1604,N,Cloudy,COM,Douglas,Omaha,408735,408958,31,37000,2396064
