"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 11, 2019",Florida,"Belle Glade","SW 7th St",0,4,N/A
"November 10, 2019",Missouri,"Kansas City","4704 Independence Ave",0,4,N/A
"November 10, 2019",Tennessee,Memphis,"2080 E. Brooks Rd",1,4,N/A
"November 10, 2019",Arkansas,"Little Rock","3000 block of W 12th St",0,4,N/A
"November 9, 2019",Georgia,Vidalia,"Wiggins St",0,4,N/A
"November 9, 2019",Michigan,Detroit,"3800 block of E McNichols Rd",0,4,N/A
"November 7, 2019",Georgia,Conyers,"1800 block of Green St",2,3,N/A
"November 4, 2019",Texas,Houston,"5000 block of Northridge Dr",1,4,N/A
"November 3, 2019",Ohio,Toledo,"600 block of Magnolia St",0,4,N/A
"November 3, 2019",Texas,Nacogdoches,"Sandyland Cir and CR 823",1,3,N/A
"November 2, 2019",Louisiana,"Baton Rouge","137 Taylor St",0,4,N/A
"November 2, 2019",Michigan,Detroit,"7000 block of E. Kirby",1,4,N/A
"November 1, 2019",Arizona,Tolleson,"2434 S 86th Ln",0,5,N/A
"November 1, 2019",Texas,"San Angelo","1616 S Chadbourne St",0,4,N/A
"October 31, 2019",California,Orinda,"114 Lucille Way",5,3,N/A
"October 30, 2019",Pennsylvania,Philadelphia,"5026 Walton Ave",4,0,N/A
"October 29, 2019",California,"Long Beach","2709 E 7th St",3,9,N/A
"October 29, 2019",Maryland,Baltimore,"4700 block of Liberty Heights Ave",1,3,N/A
"October 28, 2019",Maryland,Baltimore,"4160 Pimlico Rd",1,3,N/A
"October 27, 2019",Michigan,Detroit,"East Outer Dr and Helen St",0,4,N/A
"October 27, 2019",Michigan,Lansing,"Balfour Dr and W Miller Rd",1,4,N/A
"October 26, 2019",Texas,Greenville,"2275 US-380",2,6,N/A
"October 24, 2019",Oklahoma,"Oklahoma City","1900 block of NW 12th St",2,2,N/A
"October 22, 2019",Oklahoma,"Oklahoma City (Midwest City)","7020 E Green Ave",1,3,N/A
"October 21, 2019","South Carolina",Sumter,"29 Wesmark Blvd",0,4,N/A
"October 20, 2019",Texas,"Port Arthur","1100 block of Vicksburg Ave",1,3,N/A
"October 19, 2019",Texas,"El Paso","3812 Truman Ave",1,3,N/A
"October 19, 2019",Pennsylvania,Duquesne,"600 block of Priscilla Ave",0,4,N/A
"October 15, 2019",Ohio,Columbus,"1600 block of Manchester Ave",0,4,N/A
"October 13, 2019",Pennsylvania,Philadelphia,"W Clearfield St and N 8th St",0,6,N/A
"October 13, 2019",Ohio,Akron,"Main St",0,4,N/A
"October 12, 2019","New York",Brooklyn,"75 Utica Ave",4,3,N/A
"October 12, 2019",Pennsylvania,Philadelphia,"700 block of W Russell St",1,3,N/A
"October 12, 2019",Illinois,Chicago,"6733 W Irving Park Rd",5,0,N/A
"October 12, 2019",Maryland,Baltimore,"800 block of W Lexington St",1,3,N/A
"October 12, 2019",Michigan,Eastpointe,"15163 E 10 Mile Rd",1,5,N/A
"October 10, 2019",Florida,Tampa,"5410 N Falkenburg Rd",2,2,N/A
"October 10, 2019",Pennsylvania,Philadelphia,"900 block of S 5th St",0,5,N/A
"October 9, 2019",Maryland,Baltimore,"1600 block of W North Ave",1,3,N/A
"October 7, 2019",Massachusetts,Abington,"135 Centre Ave",5,0,N/A
