date,location,injured_killed,count
2013-01-01T00:00:00Z,"Sacramento, CA",killed,4
2013-01-01T00:00:00Z,"Hawthorne, CA",killed,1
2013-01-01T00:00:00Z,"McKeesport, PA",killed,0
2013-01-01T00:00:00Z,"Lorain, OH",killed,1
2013-01-05T00:00:00Z,"Aurora, CO",killed,4
2013-01-07T00:00:00Z,"Tulsa, OK",killed,5
2013-01-07T00:00:00Z,"Greensboro, NC",killed,2
2013-01-07T00:00:00Z,"Dinwiddie, VA",killed,3
2013-01-10T00:00:00Z,"New Orleans, LA",killed,3
2013-01-12T00:00:00Z,"Tuscaloosa, AL",killed,1
2013-01-19T00:00:00Z,"Albuquerque, NM",killed,5
2013-01-21T00:00:00Z,"Brentwood, CA",killed,0
2013-01-21T00:00:00Z,"New Orleans, LA",killed,0
2013-01-25T00:00:00Z,"St. Louis, MO",killed,1
2013-01-26T00:00:00Z,"Springfield, OH",killed,1
2013-01-26T00:00:00Z,Washington DC,killed,0
2013-01-27T00:00:00Z,"Charenton, LA",killed,1
2013-01-30T00:00:00Z,"Phoenix, AZ",killed,3
2013-02-01T00:00:00Z,"Oakland, CA",killed,1
2013-02-02T00:00:00Z,"Memphis, TN",killed,0
2013-02-03T00:00:00Z,"Began in Riverside, CA",killed,5
2013-02-03T00:00:00Z,"Olivehurst, CA",killed,1
2013-02-03T00:00:00Z,"Memphis, TN",killed,2
2013-02-06T00:00:00Z,"Denver, CO",killed,3
2013-02-07T00:00:00Z,"Chicago, IL",killed,0
2013-02-09T00:00:00Z,"New Orleans, LA",killed,0
2013-02-11T00:00:00Z,"Vallejo, CA",killed,1
2013-02-11T00:00:00Z,"Oakdale, MN",killed,1
2013-02-11T00:00:00Z,"Wilmington, DE",killed,3
2013-02-12T00:00:00Z,"Suburban Salt Lake City (Midvale), UT",killed,3
2013-02-13T00:00:00Z,"Red Springs, NC",killed,2
2013-02-16T00:00:00Z,"Winston-Salem, NC",killed,1
2013-02-19T00:00:00Z,"Tustin, CA",killed,4
2013-02-21T00:00:00Z,"Tulsa, OK",killed,1
2013-02-21T00:00:00Z,"Miami, FL",killed,2
2013-02-22T00:00:00Z,"Grand Rapids, MI",killed,0
2013-02-23T00:00:00Z,"Oakland, CA",killed,0
2013-02-23T00:00:00Z,"Lancaster, CA",killed,0
2013-02-24T00:00:00Z,"Macon, GA",killed,0
2013-03-02T00:00:00Z,"Shreveport, LA",killed,1
2013-03-03T00:00:00Z,"Moultrie, GA",killed,1
2013-03-03T00:00:00Z,"Houston, TX",killed,0
2013-03-04T00:00:00Z,"Saginaw, MI",killed,0
2013-03-04T00:00:00Z,"Los Banos, CA",killed,1
2013-03-05T00:00:00Z,"Indianapolis, IN",killed,1
2013-03-05T00:00:00Z,"Fuquay-Varina, NC",killed,0
2013-03-07T00:00:00Z,"Jackson, MS",killed,2
2013-03-08T00:00:00Z,"Buffalo, NY",killed,1
2013-03-11T00:00:00Z,"Washington, DC",killed,0
2013-03-11T00:00:00Z,"North Liberty, IA",killed,1
2013-03-13T00:00:00Z,"San Diego, CA",killed,2
2013-03-13T00:00:00Z,"Herkimer, NY",killed,5
2013-03-14T00:00:00Z,"Mesquite, TX",killed,4
2013-03-14T00:00:00Z,"Modesto, CA",killed,0
2013-03-16T00:00:00Z,"Galt, CA",killed,0
2013-03-17T00:00:00Z,"Stockton, CA",killed,2
2013-03-17T00:00:00Z,"Belle Glade, FL",killed,0
2013-03-20T00:00:00Z,"Jefferson County, AL",killed,3
2013-03-21T00:00:00Z,"Chicago, IL",killed,0
2013-03-21T00:00:00Z,"Kansas City, MO",killed,1
2013-03-22T00:00:00Z,"Brooklyn, NY",killed,1
2013-03-26T00:00:00Z,"St. Petersberg, FL",killed,0
2013-03-31T00:00:00Z,"Auburn, WA",killed,3
2013-03-31T00:00:00Z,"Merced County, CA",killed,2
2013-04-02T00:00:00Z,"San Juan, Puerto Rico",killed,4
2013-04-06T00:00:00Z,"Philadelphia, PA",killed,0
2013-04-06T00:00:00Z,"Greenwood, SC",killed,1
2013-04-07T00:00:00Z,"Manhatten, Kansas",killed,1
2013-04-07T00:00:00Z,"Long Beach, CA",killed,1
2013-04-09T00:00:00Z,"Philadelphia, PA",killed,1
2013-04-10T00:00:00Z,"Vallejo, CA",killed,0
2013-04-13T00:00:00Z,"Norfolk, VA",killed,0
2013-04-13T00:00:00Z,"Merced, CA",killed,0
2013-04-14T00:00:00Z,"Phoenix, AZ",killed,2
2013-04-14T00:00:00Z,"Lexington, KY",killed,1
2013-04-18T00:00:00Z,"Northhampton, PA",killed,2
2013-04-18T00:00:00Z,"Boston, MA",killed,2
2013-04-18T00:00:00Z,"Akron, OH",killed,4
2013-04-20T00:00:00Z,"Richmond, VA",killed,2
2013-04-20T00:00:00Z,"Modesto, CA",killed,2
2013-04-21T00:00:00Z,"Federal Way, WA",killed,5
2013-04-22T00:00:00Z,"Englewood, Illinois",killed,0
2013-04-22T00:00:00Z,"Havey, Louisiana",killed,0
2013-04-24T00:00:00Z,"Manchester, IL",killed,6
2013-04-25T00:00:00Z,"Oberlin, Ohio",killed,0
2013-04-27T00:00:00Z,"Williston, FL",killed,1
2013-04-28T00:00:00Z,"Lauderdale Lakes, FL",killed,0
2013-04-28T00:00:00Z,"Charlotte, NC",killed,0
2013-04-28T00:00:00Z,"Ottawa, KA",killed,4
2013-04-28T00:00:00Z,"Chester, PA",killed,1
2013-04-28T00:00:00Z,"Jackson, Tennessee",killed,2
2013-05-02T00:00:00Z,"Newark, NJ",killed,0
2013-05-04T00:00:00Z,"Smithfield, NC",killed,0
2013-05-04T00:00:00Z,"Aguas Buenas, PR",killed,4
2013-05-05T00:00:00Z,"Oakland, CA",killed,1
2013-05-05T00:00:00Z,"E. Palo Alto, CA",killed,0
2013-05-06T00:00:00Z,"Johnstown, PA",killed,0
2013-05-06T00:00:00Z,"Ocean Township, NJ",killed,0
2013-05-08T00:00:00Z,"Hendersonville, NC",killed,4
2013-05-10T00:00:00Z,"Harbor Gateway (Los Angeles), CA",killed,3
2013-05-11T00:00:00Z,"Waynesville, IN",killed,4
2013-05-11T00:00:00Z,"East Germantown, PA",killed,0
2013-05-12T00:00:00Z,"Apache Junction, AZ",killed,0
2013-05-12T00:00:00Z,"Newark, NJ",killed,0
2013-05-12T00:00:00Z,"Hollister, CA",killed,0
2013-05-12T00:00:00Z,"Jersey City, NJ",killed,0
2013-05-12T00:00:00Z,"New Orleans, LA",killed,0
2013-05-13T00:00:00Z,"Winton Hills, OH",killed,0
2013-05-15T00:00:00Z,"Fernley, NV",killed,5
2013-05-15T00:00:00Z,"Detroit, MI",killed,1
2013-05-16T00:00:00Z,"Philadelphia, PA",killed,0
2013-05-18T00:00:00Z,"Las Piedras, PR",killed,3
2013-05-19T00:00:00Z,"Detroit, MI",killed,0
2013-05-19T00:00:00Z,"Lunenburg, VA",killed,0
2013-05-19T00:00:00Z,"South Memphis, TN",killed,2
2013-05-20T00:00:00Z,"Chicago, IL",killed,0
2013-05-21T00:00:00Z,"Madison County, AL",killed,0
2013-05-21T00:00:00Z,"Herndon, VA",killed,4
2013-05-23T00:00:00Z,"Knoxville, TN",killed,2
2013-05-23T00:00:00Z,"Saginaw, MI",killed,1
2013-05-24T00:00:00Z,"Bakersfield, CA",killed,2
2013-05-25T00:00:00Z,"Hampton, VA",killed,1
2013-05-25T00:00:00Z,"Flint, MI",killed,1
2013-05-26T00:00:00Z,"Began in Eden, TX",killed,3
2013-05-28T00:00:00Z,"Sells, AZ",killed,5
2013-05-28T00:00:00Z,"Memphis, TN",killed,1
2013-05-29T00:00:00Z,"Chicago, IL",killed,0
2013-05-31T00:00:00Z,"Atlanta, GA",killed,0
2013-06-01T00:00:00Z,"Vallejo, CA",killed,2
2013-06-01T00:00:00Z,"Milwaukee, WI",killed,0
2013-06-02T00:00:00Z,"LaGrange, GA",killed,0
2013-06-02T00:00:00Z,"Indianapolis, IN",killed,0
2013-06-02T00:00:00Z,"Virginia Beach, VA",killed,0
2013-06-02T00:00:00Z,"Roanoke, VA",killed,0
2013-06-03T00:00:00Z,"Las Vegas, NV",killed,2
2013-06-04T00:00:00Z,"Shoreview, MN",killed,2
2013-06-05T00:00:00Z,"Elburn, IL",killed,0
2013-06-07T00:00:00Z,"Santa Monica, CA",killed,5
2013-06-09T00:00:00Z,"York City, PA",killed,0
2013-06-10T00:00:00Z,"Chicago, IL",killed,1
2013-06-10T00:00:00Z,"St. Louis, MO",killed,0
2013-06-11T00:00:00Z,"Darien, IL",killed,4
2013-06-12T00:00:00Z,"St. Louis, MO",killed,4
2013-06-14T00:00:00Z,"High Point, NC",killed,0
2013-06-15T00:00:00Z,"Nashville, TN",killed,0
2013-06-15T00:00:00Z,"Houston, TX",killed,1
2013-06-16T00:00:00Z,"Chicago, IL",killed,1
2013-06-18T00:00:00Z,"Berkeley, MO",killed,1
2013-06-19T00:00:00Z,"Louisville, KY",killed,3
2013-06-21T00:00:00Z,"Chicago, IL",killed,1
2013-06-21T00:00:00Z,"Norfolk, VA",killed,0
2013-06-22T00:00:00Z,"Providence, RI",killed,0
2013-06-22T00:00:00Z,"Greenville, NC",killed,0
2013-06-22T00:00:00Z,"Paterson, NJ",killed,1
2013-06-22T00:00:00Z,"Baltimore, MD",killed,1
2013-06-23T00:00:00Z,"Chattanooga, TN",killed,1
2013-06-23T00:00:00Z,"Kansas City, MO",killed,1
2013-06-23T00:00:00Z,"Gentilly, LA",killed,0
2013-06-23T00:00:00Z,"Virginia Beach, VA",killed,1
2013-06-23T00:00:00Z,"Sacramento, CA",killed,1
2013-06-24T00:00:00Z,"Kansas City, MO",killed,1
2013-06-25T00:00:00Z,"Chicago, IL",killed,1
2013-06-27T00:00:00Z,"Three Rivers, CA",killed,2
2013-06-27T00:00:00Z,"Baltimore, MD",killed,1
2013-06-28T00:00:00Z,"Chicago, IL",killed,0
2013-06-29T00:00:00Z,"North Charleston, SC",killed,3
2013-06-29T00:00:00Z,"Aurora, CO",killed,0
2013-06-30T00:00:00Z,"Brooklyn, NY",killed,0
2013-07-01T00:00:00Z,"Fort Worth, TX",killed,4
