name,start,end,sphere,link,type
"American Revolutionary War","4/19/1775","9/3/1783","North America","https://en.wikipedia.org/wiki/American_Revolutionary_War","overt"
"Cherokee–American wars","01/01/1776","12/31/1795","North America","https://en.wikipedia.org/wiki/Cherokee%E2%80%93American_wars","overt"
"Northwest Indian War","01/01/1785","12/31/1795","North America","https://en.wikipedia.org/wiki/Northwest_Indian_War","overt"
"Whiskey Rebellion","01/01/1795","12/31/1795","North America","https://en.wikipedia.org/wiki/Whiskey_Rebellion","overt"
"Quasi-War","01/01/1798","12/31/1800","North America","https://en.wikipedia.org/wiki/Quasi-War","overt"
"First Barbary War","5/10/1801","6/10/1805","Africa","https://en.wikipedia.org/wiki/First_Barbary_War","overt"
"Tecumseh's War","01/01/1811","12/31/1811","North America","https://en.wikipedia.org/wiki/Tecumseh%27s_War","overt"
"War of 1812","6/18/1812","2/18/1815","North America","https://en.wikipedia.org/wiki/War_of_1812","overt"
"Red Stick War","01/01/1813","8/31/1814","North America","https://en.wikipedia.org/wiki/Creek_War","overt"
"Second Barbary War","06/17/1815","06/19/1815","Africa","https://en.wikipedia.org/wiki/Second_Barbary_War","overt"
"First Seminole War","01/01/1817","12/31/1818","North America","https://en.wikipedia.org/wiki/Seminole_Wars#First_Seminole_War","overt"
"Texas-Indian Wars","01/01/1820","12/31/1875","North America","https://en.wikipedia.org/wiki/Texas%E2%80%93Indian_wars","overt"
"Arikara War","01/01/1823","12/31/1823","North America","https://en.wikipedia.org/wiki/Arikara_War","overt"
"Aegean Sea Anti/Piracy Operations","01/01/1825","12/31/1828","Europe","https://en.wikipedia.org/wiki/Aegean_Sea_Anti-Piracy_Operations_of_the_United_States","overt"
"Winnebago War","01/01/1827","12/31/1827","North America","https://en.wikipedia.org/wiki/Winnebago_War","overt"
"First Sumatran expedition","01/01/1832","12/31/1832","Southeast Asia","https://en.wikipedia.org/wiki/First_Sumatran_expedition","overt"
"Black Hawk War","01/01/1832","12/31/1832","North America","https://en.wikipedia.org/wiki/Black_Hawk_War","overt"
"Second Seminole War","01/01/1835","12/31/1842","North America","https://en.wikipedia.org/wiki/Second_Seminole_War","overt"
"Patriot War","01/01/1838","12/31/1838","North America","https://en.wikipedia.org/wiki/Patriot_War","overt"
"United States Exploring Expedition","01/01/1838","12/31/1842","Far East Asia","https://en.wikipedia.org/wiki/United_States_Exploring_Expedition","overt"
"Second Sumatran expedition","01/01/1838","12/31/1838","Southeast Asia","https://en.wikipedia.org/wiki/Second_Sumatran_expedition","overt"
"Mexican–American War","01/01/1846","12/31/1848","Latin America","https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War","overt"
"Cayuse War","01/01/1847","12/31/1855","North America","https://en.wikipedia.org/wiki/Cayuse_War","overt"
"Taiping Rebellion","01/01/1850","12/31/1864","Far East Asia","https://en.wikipedia.org/wiki/Taiping_Rebellion","overt"
"Apache Wars","01/01/1851","12/31/1900","North America","https://en.wikipedia.org/wiki/Apache_Wars","overt"
"Bombardment of Greytown","01/01/1854","12/31/1854","Caribbean","https://en.wikipedia.org/wiki/Bombardment_of_Greytown","overt"
"Puget Sound War","01/01/1855","12/31/1856","North America","https://en.wikipedia.org/wiki/Puget_Sound_War","overt"
"First Fiji Expedition","01/01/1855","12/31/1855","Oceania","https://en.wikipedia.org/wiki/First_Fiji_Expedition","overt"
"Rogue River Wars","01/01/1855","12/31/1856","North America","https://en.wikipedia.org/wiki/Rogue_River_Wars","overt"
"Third Seminole War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Seminole_Wars#Third_Seminole_War","overt"
"Yakima War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Yakima_War","overt"
"Filibuster War","01/01/1856","12/31/1857","Latin America","https://en.wikipedia.org/wiki/Filibuster_War","overt"
"Second Opium War","01/01/1856","12/31/1859","Far East Asia","https://en.wikipedia.org/wiki/Second_Opium_War","overt"
"Utah War","01/01/1857","12/31/1858","North America","https://en.wikipedia.org/wiki/Utah_War","overt"
"Navajo Wars","01/01/1858","12/31/1866","North America","https://en.wikipedia.org/wiki/Navajo_Wars","overt"
"Second Fiji Expedition","01/01/1858","12/31/1858","Oceania","https://en.wikipedia.org/wiki/Second_Fiji_Expedition","overt"
"First and Second Cortina War","01/01/1859","12/31/1861","Latin America","https://en.wikipedia.org/wiki/Cortina_Troubles","overt"
"Paiute War","01/01/1860","12/31/1860","North America","https://en.wikipedia.org/wiki/Paiute_War","overt"
"Reform War","01/01/1860","12/31/1860","Latin America","https://en.wikipedia.org/wiki/Reform_War","overt"
"American Civil War","01/01/1861","12/31/1865","North America","https://en.wikipedia.org/wiki/American_Civil_War","overt"
"Bombardment of Qui Nhơn","01/01/1861","12/31/1861","Southeast Asia","https://en.wikipedia.org/wiki/Bombardment_of_Qui_Nh%C6%A1n","overt"
"Yavapai Wars","01/01/1861","12/31/1875","North America","https://en.wikipedia.org/wiki/Yavapai_Wars","overt"
"Dakota War of 1862","01/01/1862","12/31/1862","North America","https://en.wikipedia.org/wiki/Dakota_War_of_1862","overt"
"Colorado War","01/01/1863","12/31/1865","North America","https://en.wikipedia.org/wiki/Colorado_War","overt"
"Shimonoseki War","01/01/1863","12/31/1864","Southeast Asia","https://en.wikipedia.org/wiki/Shimonoseki_Campaign","overt"
"Snake War","01/01/1864","12/31/1868","North America","https://en.wikipedia.org/wiki/Snake_War","overt"
"Powder River War","01/01/1865","12/31/1865","North America","https://en.wikipedia.org/wiki/Powder_River_Expedition_(1865)","overt"
"Red Cloud's War","01/01/1866","12/31/1868","North America","https://en.wikipedia.org/wiki/Red_Cloud%27s_War","overt"
"Siege of Mexico City","01/01/1867","12/31/1867","Latin America","https://en.wikipedia.org/wiki/Siege_of_Mexico_City","overt"
"Formosa Expedition","01/01/1867","12/31/1867","Southeast Asia","https://en.wikipedia.org/wiki/Formosa_Expedition","overt"
"Comanche Campaign","01/01/1867","12/31/1875","North America","https://en.wikipedia.org/wiki/Comanche_Campaign","overt"
"United States expedition to Korea","01/01/1871","12/31/1871","Southeast Asia","https://en.wikipedia.org/wiki/United_States_expedition_to_Korea","overt"
"Modoc War","01/01/1872","12/31/1873","North America","https://en.wikipedia.org/wiki/Modoc_War","overt"
"Red River War","01/01/1874","12/31/1875","North America","https://en.wikipedia.org/wiki/Red_River_War","overt"
"Las Cuevas War","01/01/1875","12/31/1875","Latin America","https://en.wikipedia.org/wiki/Las_Cuevas_War","overt"
"Great Sioux War of 1876","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Great_Sioux_War_of_1876","overt"
"Buffalo Hunters' War","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Buffalo_Hunters%27_War","overt"
"Nez Perce War","01/01/1877","12/31/1877","North America","https://en.wikipedia.org/wiki/Nez_Perce_War","overt"
